file,task,config,lr_folder,lr_float,kbp,ctx,excl,flags,name_token,run_id,accuracy,f1,auc
TAD/TAD_boundary/classification/strong_non/25kbp_ctx512_excl2/LR1e-4/eval_results.txt,strong_non,25kbp_ctx512_excl2,LR1e-4,0.0001,25,512,2,,25kbp_ctx512_excl2,0,0.594,0.5,0.0
TAD/TAD_boundary/classification/strong_non/25kbp_ctx512_excl2/LR1e-4/eval_results.txt,strong_non,25kbp_ctx512_excl2,LR1e-4,0.0001,25,512,2,,25kbp_ctx512_excl2,1,0.602,0.565,0.43
TAD/TAD_boundary/classification/strong_non/25kbp_ctx512_excl2/LR1e-4/eval_results.txt,strong_non,25kbp_ctx512_excl2,LR1e-4,0.0001,25,512,2,,25kbp_ctx512_excl2,2,0.594,0.5,0.0
TAD/TAD_boundary/classification/strong_non/25kbp_ctx512_excl2/LR1e-4/eval_results.txt,strong_non,25kbp_ctx512_excl2,LR1e-4,0.0001,25,512,2,,25kbp_ctx512_excl2,3,0.594,0.5,0.0
TAD/TAD_boundary/classification/strong_non/25kbp_ctx512_excl2/LR1e-4/eval_results.txt,strong_non,25kbp_ctx512_excl2,LR1e-4,0.0001,25,512,2,,25kbp_ctx512_excl2,4,0.594,0.5,0.0
TAD/TAD_boundary/classification/strong_non/25kbp_ctx512_excl2/LR1e-4/eval_results.txt,strong_non,25kbp_ctx512_excl2,LR1e-4,0.0001,25,512,2,,25kbp_ctx512_excl2,5,0.594,0.5,0.0
TAD/TAD_boundary/classification/strong_non/25kbp_ctx512_excl2/LR1e-4/eval_results.txt,strong_non,25kbp_ctx512_excl2,LR1e-4,0.0001,25,512,2,,25kbp_ctx512_excl2,6,0.594,0.5,0.0
TAD/TAD_boundary/classification/strong_non/25kbp_ctx512_excl2/LR1e-4/eval_results.txt,strong_non,25kbp_ctx512_excl2,LR1e-4,0.0001,25,512,2,,25kbp_ctx512_excl2,7,0.594,0.5,0.0
TAD/TAD_boundary/classification/strong_non/25kbp_ctx512_excl2/LR1e-4/eval_results.txt,strong_non,25kbp_ctx512_excl2,LR1e-4,0.0001,25,512,2,,25kbp_ctx512_excl2,8,0.614,0.573,0.426
TAD/TAD_boundary/classification/strong_non/25kbp_ctx512_excl2/LR1e-4/eval_results.txt,strong_non,25kbp_ctx512_excl2,LR1e-4,0.0001,25,512,2,,25kbp_ctx512_excl2,9,0.609,0.561,0.391
TAD/TAD_boundary/classification/strong_non/25kbp_ctx512_excl2/LR1e-4/eval_results.txt,strong_non,25kbp_ctx512_excl2,LR1e-4,0.0001,25,512,2,,25kbp_ctx512_excl2,10,0.611,0.525,0.135
TAD/TAD_boundary/classification/strong_non/25kbp_ctx512_excl2/LR1e-4/eval_results.txt,strong_non,25kbp_ctx512_excl2,LR1e-4,0.0001,25,512,2,,25kbp_ctx512_excl2,11,0.6,0.561,0.417
TAD/TAD_boundary/classification/strong_non/25kbp_ctx512_excl2/LR1e-4/eval_results.txt,strong_non,25kbp_ctx512_excl2,LR1e-4,0.0001,25,512,2,,25kbp_ctx512_excl2,12,0.605,0.567,0.43
TAD/TAD_boundary/classification/strong_non/25kbp_ctx512_excl2/LR1e-4/eval_results.txt,strong_non,25kbp_ctx512_excl2,LR1e-4,0.0001,25,512,2,,25kbp_ctx512_excl2,13,0.603,0.566,0.428
TAD/TAD_boundary/classification/strong_non/25kbp_ctx512/LR1e-4/eval_results.txt,strong_non,25kbp_ctx512,LR1e-4,0.0001,25,512,,,25kbp_ctx512,0,0.594,0.5,0.0
TAD/TAD_boundary/classification/strong_non/25kbp_ctx512/LR1e-4/eval_results.txt,strong_non,25kbp_ctx512,LR1e-4,0.0001,25,512,,,25kbp_ctx512,1,0.602,0.565,0.43
TAD/TAD_boundary/classification/strong_non/25kbp_ctx512/LR1e-4/eval_results.txt,strong_non,25kbp_ctx512,LR1e-4,0.0001,25,512,,,25kbp_ctx512,2,0.594,0.5,0.0
TAD/TAD_boundary/classification/strong_non/25kbp_ctx512/LR1e-4/eval_results.txt,strong_non,25kbp_ctx512,LR1e-4,0.0001,25,512,,,25kbp_ctx512,3,0.594,0.5,0.0
TAD/TAD_boundary/classification/strong_non/25kbp_ctx512/LR1e-4/eval_results.txt,strong_non,25kbp_ctx512,LR1e-4,0.0001,25,512,,,25kbp_ctx512,4,0.594,0.5,0.0
TAD/TAD_boundary/classification/strong_non/25kbp_ctx512/LR1e-4/eval_results.txt,strong_non,25kbp_ctx512,LR1e-4,0.0001,25,512,,,25kbp_ctx512,5,0.594,0.5,0.0
TAD/TAD_boundary/classification/strong_non/25kbp_ctx512/LR1e-4/eval_results.txt,strong_non,25kbp_ctx512,LR1e-4,0.0001,25,512,,,25kbp_ctx512,6,0.594,0.5,0.0
TAD/TAD_boundary/classification/strong_non/25kbp_ctx512/LR1e-4/eval_results.txt,strong_non,25kbp_ctx512,LR1e-4,0.0001,25,512,,,25kbp_ctx512,7,0.594,0.5,0.0
TAD/TAD_boundary/classification/strong_non/25kbp_ctx512/LR1e-4/eval_results.txt,strong_non,25kbp_ctx512,LR1e-4,0.0001,25,512,,,25kbp_ctx512,8,0.614,0.573,0.426
TAD/TAD_boundary/classification/strong_non/25kbp_ctx512/LR1e-4/eval_results.txt,strong_non,25kbp_ctx512,LR1e-4,0.0001,25,512,,,25kbp_ctx512,9,0.609,0.561,0.391
TAD/TAD_boundary/classification/strong_non/25kbp_ctx512/LR1e-4/eval_results.txt,strong_non,25kbp_ctx512,LR1e-4,0.0001,25,512,,,25kbp_ctx512,10,0.611,0.525,0.135
TAD/TAD_boundary/classification/strong_non/25kbp_ctx512/LR1e-4/eval_results.txt,strong_non,25kbp_ctx512,LR1e-4,0.0001,25,512,,,25kbp_ctx512,11,0.6,0.561,0.417
TAD/TAD_boundary/classification/strong_non/25kbp_ctx512/LR1e-4/eval_results.txt,strong_non,25kbp_ctx512,LR1e-4,0.0001,25,512,,,25kbp_ctx512,12,0.605,0.567,0.43
TAD/TAD_boundary/classification/strong_non/25kbp_ctx512/LR1e-4/eval_results.txt,strong_non,25kbp_ctx512,LR1e-4,0.0001,25,512,,,25kbp_ctx512,13,0.603,0.566,0.428
TAD/TAD_boundary/classification/strong_non/25kbp_ctx512/LR3e-5/eval_results.txt,strong_non,25kbp_ctx512,LR3e-5,3e-05,25,512,,,25kbp_ctx512,0,0.594,0.5,0.0
TAD/TAD_boundary/classification/strong_non/25kbp_ctx512/LR3e-5/eval_results.txt,strong_non,25kbp_ctx512,LR3e-5,3e-05,25,512,,,25kbp_ctx512,1,0.594,0.5,0.0
TAD/TAD_boundary/classification/strong_non/25kbp_ctx512/LR3e-5/eval_results.txt,strong_non,25kbp_ctx512,LR3e-5,3e-05,25,512,,,25kbp_ctx512,2,0.594,0.5,0.0
TAD/TAD_boundary/classification/strong_non/25kbp_ctx512/LR3e-5/eval_results.txt,strong_non,25kbp_ctx512,LR3e-5,3e-05,25,512,,,25kbp_ctx512,3,0.594,0.5,0.0
TAD/TAD_boundary/classification/strong_non/25kbp_ctx512/LR3e-5/eval_results.txt,strong_non,25kbp_ctx512,LR3e-5,3e-05,25,512,,,25kbp_ctx512,4,0.598,0.541,0.329
TAD/TAD_boundary/classification/strong_non/25kbp_ctx512/LR3e-5/eval_results.txt,strong_non,25kbp_ctx512,LR3e-5,3e-05,25,512,,,25kbp_ctx512,5,0.594,0.5,0.0
TAD/TAD_boundary/classification/strong_non/25kbp_ctx512/LR3e-5/eval_results.txt,strong_non,25kbp_ctx512,LR3e-5,3e-05,25,512,,,25kbp_ctx512,6,0.594,0.5,0.0
TAD/TAD_boundary/classification/strong_non/25kbp_ctx512/LR3e-5/eval_results.txt,strong_non,25kbp_ctx512,LR3e-5,3e-05,25,512,,,25kbp_ctx512,7,0.594,0.5,0.0
